trait_description	custom_category	top_rgAbs	top_p	top_FDR	NA	gap_gm_rg	gap_gm_se	gap_gm_z	gap_gm_p	gap_gm_FDR	NA.1	gap_wm_rg	gap_wm_se	gap_wm_z	gap_wm_p	gap_wm_FDR	NA.2	gap_gwm_rg	gap_gwm_se	gap_gwm_z	gap_gwm_p	gap_gwm_FDR	NA.3	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se	category	showcase
Neuroticism score	Mental health	0.1063	0.0193	0.107583902439024		0.0902	0.0394	2.2862	0.0222	0.107583902439024		0.1034	0.0493	2.097	0.036	0.361634343434343		0.1063	0.0454	2.339	0.0193	0.150564179104478		0.1122	0.006	1.0191	0.0138	8e-04	0.0066	Mental health - Psychosocial factors - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20127
Types of transport used (excluding work): Car/motor vehicle	Lifestyle and environment	0.113	0.0222	0.107583902439024		-0.113	0.0494	-2.2866	0.0222	0.107583902439024		-0.0643	0.0484	-1.3285	0.184	0.564842249240122		-0.0937	0.0472	-1.9828	0.0474	0.220087323943662		0.0255	0.0017	1.0096	0.0072	0.0054	0.0051	Physical activity - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6162
Number of attempts	Cognitive function	0.1282	0.0223	0.107583902439024		0.1282	0.0561	2.2859	0.0223	0.107583902439024		0.0974	0.055	1.7724	0.0763	0.421568156424581		0.1189	0.056	2.1231	0.0337	0.183128021978022		0.0586	0.0051	1.0087	0.008	5e-04	0.0056	Prospective memory - Cognitive function - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=4291
FI4 : positional arithmetic	Cognitive function	0.1308	0.0081	0.110001020408163		-0.1104	0.057	-1.9367	0.0528	0.180066206896552		-0.13	0.0491	-2.6485	0.0081	0.231570731707317		-0.1308	0.0514	-2.5456	0.0109	0.110001020408163		0.0688	0.0054	1.0028	0.0076	7.1631e-05	0.0055	Fluid intelligence / reasoning - Cognitive function - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=4968
ECG, load	Physical measures	0.1866	0.0203	0.110844444444444		-0.1866	0.0822	-2.2707	0.0232	0.110844444444444		-0.1581	0.078	-2.0276	0.0426	0.383012727272727		-0.1813	0.0781	-2.3211	0.0203	0.150564179104478		0.0548	0.0096	1.0107	0.0065	-0.0012	0.0053	ECG during exercise - Physical measures - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=5984
Time spent watching television (TV)	Lifestyle and environment	0.0747	0.0231	0.110844444444444		0.0747	0.0329	2.2716	0.0231	0.110844444444444		0.0523	0.0313	1.6723	0.0945	0.44434691943128		0.0666	0.0308	2.1614	0.0307	0.175504624277457		0.1057	0.0039	1.0459	0.0119	-0.0031	0.0059	Physical activity - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1070
Transport type for commuting to job workplace: Car/motor vehicle	Sociodemographics	0.1504	0.0111	0.110887878787879		-0.1348	0.063	-2.1386	0.0325	0.137454237288136		-0.1408	0.0588	-2.3934	0.0167	0.263733333333333		-0.1504	0.0592	-2.5392	0.0111	0.110887878787879		0.0248	0.0029	1.0171	0.0068	0.0065	0.0049	Employment - Sociodemographics - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6143
Leisure/social activities: Pub or social club	Mental health	0.1132	0.0128	0.111737980769231		0.1003	0.0443	2.2657	0.0235	0.111737980769231		0.1095	0.0462	2.3684	0.0179	0.275721212121212		0.1132	0.0454	2.4906	0.0128	0.115083636363636		0.0346	0.002	1.01	0.0079	0.009	0.0051	Social support - Psychosocial factors - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6160
Age high blood pressure diagnosed	Medical history and conditions	0.1609	0.0239	0.112557619047619		-0.1609	0.0712	-2.259	0.0239	0.112557619047619		-0.1249	0.0708	-1.7657	0.0774	0.423415625		-0.1516	0.0719	-2.1087	0.035	0.186633870967742		0.0524	0.0073	1.0146	0.0076	0.0037	0.0052	Medical conditions - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2966
Other serious medical condition/disability diagnosed by doctor	Medical history and conditions	0.1143	0.0116	0.113164423076923		0.1049	0.0478	2.1927	0.0283	0.129577314814815		0.1095	0.0442	2.4782	0.0132	0.251053846153846		0.1143	0.0453	2.5246	0.0116	0.113164423076923		0.0258	0.0017	1.0124	0.0072	0.0111	0.0052	Medical conditions - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2473
Maximum workload during fitness test	Physical measures	0.1632	0.0242	0.113430331753555		-0.1632	0.0724	-2.2539	0.0242	0.113430331753555		-0.1316	0.0703	-1.8726	0.0611	0.40738940397351		-0.1556	0.069	-2.2536	0.0242	0.160308496732026		0.0634	0.0097	1.0109	0.0067	-0.0026	0.0052	ECG during exercise - Physical measures - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6032
Birth weight	Family history and early life factors	0.0883	0.0122	0.113688785046729		-0.0828	0.0379	-2.186	0.0288	0.131258986175115		-0.0782	0.0339	-2.3042	0.0212	0.312937313432836		-0.0883	0.0352	-2.5071	0.0122	0.113688785046729		0.1074	0.0059	1.0511	0.0143	0.0075	0.0056	Early life factors - Verbal interview - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20022
Types of physical activity in last 4 weeks: None of the above	Lifestyle and environment	0.1166	0.0245	0.114294811320755		0.1166	0.0519	2.2487	0.0245	0.114294811320755		0.0423	0.0538	0.7857	0.432	0.765677419354839		0.0792	0.0516	1.5357	0.1246	0.364584023668639		0.0234	0.0017	1.0146	0.0071	-0.0029	0.0051	Physical activity - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6164
Immature reticulocyte fraction	Biological samples	0.084	0.0118	0.114467592592593		0.0691	0.0349	1.9762	0.0481	0.171662142857143		0.084	0.0334	2.5175	0.0118	0.235382		0.0825	0.0331	2.4967	0.0125	0.114467592592593		0.1188	0.0116	1.1785	0.0691	0.0143	0.0069	Blood count - Blood assays - Biological samples	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=30280
Major dietary changes in the last 5 years: No	Lifestyle and environment	0.1029	0.0247	0.114686854460094		-0.1029	0.0458	-2.2464	0.0247	0.114686854460094		-0.0153	0.0491	-0.3105	0.7561	0.923188765432099		-0.0564	0.0483	-1.1673	0.2431	0.523891106290672		0.0384	0.0023	1.0225	0.009	-0.0047	0.0056	Diet - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1538
Seen doctor (GP) for nerves, anxiety, tension or depression	Mental health	0.0827	0.0279	0.12834		0.0827	0.0376	2.1983	0.0279	0.12834		0.03	0.0405	0.74	0.4593	0.782651016949153		0.0586	0.0392	1.4962	0.1346	0.381430945558739		0.0607	0.003	1.0113	0.0095	0.0037	0.0063	Mental health - Psychosocial factors - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2090
Asthma-related pneumonia	Medical history and conditions	0.2691	0.0291	0.132017889908257		0.2691	0.1233	2.182	0.0291	0.132017889908257		0.2264	0.1173	1.9303	0.0536	0.404659541984733		0.2619	0.121	2.1636	0.0305	0.175504624277457		0.0034	0.0012	1.0013	0.0062	-7e-04	0.0052	NA	NA
Workplace very cold: Sometimes	Work environment	0.1537	0.0301	0.134504		0.1537	0.0708	2.169	0.0301	0.134504		0.0386	0.0703	0.5496	0.5826	0.83835		0.1013	0.0689	1.4697	0.1416	0.393377528089888		0.0491	0.0059	1.0012	0.0074	-0.0034	0.0051	Employment history - Work environment - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=22607
Lymphocyte count	Biological samples	0.0686	0.0301	0.134504		0.0686	0.0316	2.1686	0.0301	0.134504		0.0289	0.0346	0.8349	0.4038	0.751751123595506		0.0499	0.0341	1.462	0.1437	0.39642188365651		0.185	0.0135	1.1486	0.0392	-0.0042	0.0075	Blood count - Blood assays - Biological samples	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=30120
Smoking status: Never	Lifestyle and environment	0.0724	0.0302	0.134504		-0.0724	0.0334	-2.167	0.0302	0.134504		-0.0037	0.0366	-0.1019	0.9188	0.980251564185545		-0.039	0.0351	-1.1103	0.2669	0.54425587628866		0.0969	0.004	1.0357	0.0112	-0.0176	0.006	Smoking - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20116
Prospective memory result	Cognitive function	0.1161	0.0303	0.134504		0.1161	0.0536	2.1664	0.0303	0.134504		0.0723	0.0535	1.351	0.1767	0.560538658146965		0.0978	0.0541	1.8095	0.0704	0.269866666666667		0.0579	0.0051	1.0101	0.0081	0.0023	0.0054	Prospective memory - Cognitive function - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20018
Own or rent accommodation lived in: Own outright (by you or someone in your household)	Sociodemographics	0.0916	0.0304	0.134504		-0.0916	0.0423	-2.1649	0.0304	0.134504		-0.0031	0.0463	-0.067	0.9466	0.989301831129196		-0.0471	0.0437	-1.0768	0.2816	0.564913590263692		0.0323	0.0018	1.011	0.008	-0.0012	0.0049	Household - Sociodemographics - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=680
Year ended full time education	Work environment	0.102	0.0306	0.134504		-0.102	0.0472	-2.1618	0.0306	0.134504		-0.0563	0.0484	-1.1627	0.2449	0.62419670886076		-0.0847	0.0469	-1.8061	0.0709	0.270733976833977		0.1341	0.0078	1.0351	0.0078	7e-04	0.0053	Work environment - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=22501
Fluid intelligence score	Cognitive function	0.0787	0.0306	0.134504		-0.0787	0.0364	-2.1626	0.0306	0.134504		-0.0383	0.0346	-1.1077	0.268	0.641672619047619		-0.0611	0.0343	-1.7835	0.0745	0.27492723880597		0.2244	0.0098	1.03	0.0107	-0.005	0.0058	Fluid intelligence / reasoning - Cognitive function - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20016
Time spent outdoors in winter	Lifestyle and environment	0.0967	0.0224	0.137454237288136		0.0943	0.0442	2.1348	0.0328	0.137454237288136		0.0862	0.0407	2.1199	0.034	0.358775531914894		0.0967	0.0424	2.2835	0.0224	0.153465517241379		0.0435	0.0026	1	0.0076	4e-04	0.0049	Sun exposure - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1060
High light scatter reticulocyte percentage	Biological samples	0.0651	0.0261	0.137454237288136		0.0651	0.0303	2.1513	0.0315	0.137454237288136		0.0561	0.0303	1.8523	0.064	0.408361290322581		0.0642	0.0288	2.2246	0.0261	0.166077358490566		0.1865	0.0151	1.1957	0.0769	0.0132	0.0072	Blood count - Blood assays - Biological samples	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=30290
Illness, injury, bereavement, stress in last 2 years: Marital separation/divorce	Mental health	0.2951	0.0276	0.137454237288136		0.2932	0.1369	2.141	0.0323	0.137454237288136		0.2557	0.1293	1.9767	0.0481	0.389167479674797		0.2951	0.1339	2.2029	0.0276	0.168496296296296		0.0029	0.0013	1.0106	0.0068	-0.0011	0.0054	Mental health - Psychosocial factors - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6145
Treatment/medication code: bendroflumethiazide	Medications	0.1176	0.032	0.137454237288136		0.1176	0.0548	2.1446	0.032	0.137454237288136		0.0046	0.074	0.0623	0.9503	0.989301831129196		0.0568	0.0663	0.8555	0.3923	0.670303275862069		0.03	0.0026	1.0249	0.0095	0.0058	0.0056	Medications - Verbal interview - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20003
Ever had known person concerned about, or recommend reduction of, alcohol consumption: No	Mental health	0.1421	0.0323	0.137454237288136		-0.1421	0.0664	-2.1408	0.0323	0.137454237288136		-0.0367	0.078	-0.4699	0.6384	0.870865655172414		-0.1004	0.0718	-1.3981	0.1621	0.428302933333333		0.0273	0.0044	1.0089	0.0066	-0.0186	0.0046	Alcohol use - Mental health - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20405
Knee pain for 3+ months	Medical history and conditions	0.2073	0.0326	0.137454237288136		0.2073	0.097	2.1364	0.0326	0.137454237288136		-0.0117	0.0919	-0.1279	0.8983	0.9680375		0.094	0.0919	1.0226	0.3065	0.587458333333333		0.0243	0.0063	1.0007	0.0064	-0.0058	0.0049	Pain - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=3773
Difficulty concentrating during worst depression	Mental health	0.2348	0.0327	0.137454237288136		0.2348	0.11	2.1352	0.0327	0.137454237288136		0.2049	0.1142	1.7936	0.0729	0.421568156424581		0.2345	0.1119	2.0944	0.0362	0.190435106382979		0.0308	0.0079	1.005	0.0064	0.0033	0.0051	Depression - Mental health - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20435
Illness, injury, bereavement, stress in last 2 years: None of the above	Mental health	0.1076	0.0327	0.137454237288136		-0.1076	0.0504	-2.1359	0.0327	0.137454237288136		-0.0618	0.0455	-1.3568	0.1749	0.560538658146965		-0.0895	0.0472	-1.8955	0.058	0.244735593220339		0.0231	0.0016	1.0026	0.0062	0.0025	0.0052	Mental health - Psychosocial factors - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6145
Workplace very dusty: Often	Work environment	0.1746	0.0328	0.137454237288136		0.1746	0.0818	2.1349	0.0328	0.137454237288136		0.13	0.0775	1.6772	0.0935	0.442447368421053		0.1652	0.0801	2.062	0.0392	0.199839175257732		0.0369	0.0057	1.0071	0.0073	-0.0074	0.0054	Employment history - Work environment - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=22609
Triglycerides (mmol/L)	Biological samples	0.0694	0.0328	0.137454237288136		0.0694	0.0325	2.1349	0.0328	0.137454237288136		0.0319	0.0377	0.8454	0.3979	0.748412144212524		0.0523	0.0355	1.4722	0.141	0.393092676056338		0.1995	0.0317	1.1057	0.0594	-0.0044	0.0072	Blood biochemistry - Blood assays - Biological samples	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=30870
Daytime dozing / sleeping (narcolepsy)	Lifestyle and environment	0.0853	0.0332	0.138543459915612		0.0853	0.04	2.1296	0.0332	0.138543459915612		0.0286	0.0379	0.7557	0.4498	0.777713636363636		0.058	0.0391	1.4826	0.1382	0.38940113960114		0.0492	0.0026	1.0088	0.0092	-0.0054	0.0053	Sleep - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1220
Treatment/medication code: metformin	Medications	0.1101	0.0338	0.140454621848739		0.1101	0.0519	2.122	0.0338	0.140454621848739		0.0427	0.052	0.8205	0.4119	0.754089648798521		0.0777	0.0528	1.4727	0.1408	0.393092676056338		0.0302	0.002	1.0301	0.0099	0.0059	0.0058	Medications - Verbal interview - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20003
Signal-to-noise-ratio (SNR) of triplet (left)	Physical measures	0.1528	0.0341	0.140520416666667		0.1528	0.0721	2.1194	0.0341	0.140520416666667		0.069	0.0714	0.9667	0.3337	0.714349134199134		0.1165	0.0689	1.6911	0.0908	0.31427456445993		0.0233	0.0042	1.0055	0.0065	0.0099	0.0046	Hearing test - Physical measures - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=4230
Duration of light DIY	Lifestyle and environment	0.1272	0.0341	0.140520416666667		0.1272	0.06	2.1187	0.0341	0.140520416666667		0.0684	0.057	1.2002	0.23	0.608472994652406		0.1013	0.0583	1.7386	0.0821	0.291028315412186		0.0364	0.0033	0.9975	0.0073	-0.0078	0.0057	Physical activity - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1021
Fresh tomato intake	Diet by 24-hour recall	0.348	0.031	0.140993801652893		-0.348	0.1646	-2.114	0.0345	0.140993801652893		-0.2917	0.1561	-1.8685	0.0617	0.40738940397351		-0.3469	0.1608	-2.1575	0.031	0.176201149425287		0.0169	0.0087	1.0103	0.0067	-6e-04	0.005	Fruit/vegetables yesterday - Diet by 24-hour recall - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=104340
3mm weak meridian (right)	Physical measures	0.0817	0.0345	0.140993801652893		-0.0817	0.0386	-2.1146	0.0345	0.140993801652893		-0.0453	0.0499	-0.9071	0.3644	0.7344314		-0.0643	0.045	-1.43	0.1527	0.41038125		0.3351	0.0297	1.0902	0.0307	0.0227	0.0057	Autorefraction - Eye measures - Physical measures - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=5099
High light scatter reticulocyte count	Biological samples	0.0666	0.0265	0.142855555555556		0.0644	0.0306	2.1068	0.0351	0.142855555555556		0.061	0.0319	1.9094	0.0562	0.40738940397351		0.0666	0.03	2.2192	0.0265	0.166077358490566		0.1874	0.015	1.1963	0.0754	0.0118	0.0072	Blood count - Blood assays - Biological samples	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=30300
Englyst dietary fibre	Diet by 24-hour recall	0.1791	0.018	0.147123966942149		-0.1411	0.0712	-1.9813	0.0476	0.171186909090909		-0.1791	0.0786	-2.2799	0.0226	0.319305714285714		-0.1742	0.0736	-2.3657	0.018	0.147123966942149		0.0511	0.0095	1.0035	0.0067	-0.0047	0.0045	Estimated nutrients yesterday - Diet by 24-hour recall - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=100009
Milk added to cereal	Diet by 24-hour recall	0.254	0.0199	0.150564179104478		-0.2264	0.1161	-1.951	0.0511	0.176090243902439		-0.2439	0.1135	-2.1484	0.0317	0.358775531914894		-0.254	0.1091	-2.3285	0.0199	0.150564179104478		0.0212	0.0091	1.0095	0.0066	4.1126e-05	0.0047	Cereal yesterday - Diet by 24-hour recall - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=100890
Spread type: Never/rarely use spread	Lifestyle and environment	0.1111	0.0222	0.151997950819672		-0.1065	0.0512	-2.0799	0.0375	0.151997950819672		-0.0992	0.0468	-2.1191	0.0341	0.358775531914894		-0.1111	0.0486	-2.2873	0.0222	0.153465517241379		0.0219	0.0017	1.0048	0.0068	0.0111	0.005	Diet - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1428
Sexual interference by partner or ex-partner without consent as an adult	Mental health	0.2295	0.0287	0.152184897959184		0.2295	0.1105	2.0777	0.0377	0.152184897959184		0.173	0.0915	1.8919	0.0585	0.40738940397351		0.2196	0.1004	2.1882	0.0287	0.170989759036145		0.0164	0.0043	1.0027	0.0075	-0.0052	0.005	Traumatic events - Mental health - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20524
Been in a confiding relationship as an adult	Mental health	0.1471	0.0211	0.153440441176471		-0.1243	0.0617	-2.015	0.0439	0.164458712121212		-0.1409	0.0692	-2.0353	0.0418	0.383012727272727		-0.1471	0.0638	-2.3065	0.0211	0.153440441176471		0.0371	0.0045	1.009	0.0063	-0.0066	0.0047	Traumatic events - Mental health - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20522
Never eat eggs, dairy, wheat, sugar: Eggs or foods containing eggs	Lifestyle and environment	0.2186	0.0044	0.153465517241379		0.0714	0.0749	0.9537	0.3402	0.564077889447236		0.2186	0.0768	2.8483	0.0044	0.21758		0.172	0.0753	2.2842	0.0224	0.153465517241379		0.0082	0.0013	0.9966	0.0065	0.0069	0.005	Diet - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6144
Sensitivity / hurt feelings	Mental health	0.1132	0.0217	0.153465517241379		0.0915	0.0444	2.0587	0.0395	0.156984126984127		0.1125	0.0524	2.1482	0.0317	0.358775531914894		0.1132	0.0493	2.296	0.0217	0.153465517241379		0.0615	0.0032	1.0183	0.01	-5e-04	0.006	Mental health - Psychosocial factors - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1950
Testosterone (nmol/L)	Biological samples	0.0918	0.0119	0.153769178082192		0.0628	0.0377	1.667	0.0955	0.252538770053476		0.0918	0.0365	2.5137	0.0119	0.235382		0.0834	0.0366	2.2791	0.0227	0.153769178082192		0.075	0.0109	1.0434	0.0293	-0.0035	0.0059	Blood biochemistry - Blood assays - Biological samples	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=30850
Leisure/social activities: Other group activity	Mental health	0.1138	0.0384	0.154380487804878		-0.1138	0.0549	-2.0707	0.0384	0.154380487804878		-0.0216	0.0614	-0.3512	0.7254	0.904424307304786		-0.0666	0.0586	-1.1371	0.2555	0.530708158995816		0.0215	0.0018	1.0179	0.0077	-0.0046	0.0052	Social support - Psychosocial factors - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6160
Frequency of strenuous sports in last 4 weeks	Lifestyle and environment	0.2441	0.0389	0.155757489878542		0.2441	0.1182	2.0649	0.0389	0.155757489878542		0.1836	0.1144	1.6055	0.1084	0.478605357142857		0.2321	0.1156	2.0084	0.0446	0.214123300970874		0.0354	0.0134	1.0059	0.0069	-3e-04	0.0049	Physical activity - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=991
Irritability	Mental health	0.0915	0.0398	0.156984126984127		0.0861	0.0419	2.0559	0.0398	0.156984126984127		0.0815	0.0547	1.4907	0.1361	0.513751526717557		0.0915	0.0492	1.861	0.0627	0.254717959183673		0.0679	0.0044	0.9921	0.0123	0.0029	0.0064	Mental health - Psychosocial factors - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1940
