trait_description	custom_category	top_rgAbs	top_p	top_FDR	NA	gap_gm_rg	gap_gm_se	gap_gm_z	gap_gm_p	gap_gm_FDR	NA.1	gap_wm_rg	gap_wm_se	gap_wm_z	gap_wm_p	gap_wm_FDR	NA.2	gap_gwm_rg	gap_gwm_se	gap_gwm_z	gap_gwm_p	gap_gwm_FDR	NA.3	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se	category	showcase
Alcohol drinker status: Current	Lifestyle and environment	0.1157	0.0074	0.156814414414414		-0.0818	0.0507	-1.6133	0.1067	0.297257183098592		-0.1157	0.0432	-2.6797	0.0074	0.203505769230769		-0.1078	0.0452	-2.3839	0.0171	0.156814414414414		0.0201	0.0017	1.0251	0.0072	1e-04	0.0057	Alcohol - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20117
Haemoglobin concentration	Biological samples	0.111	0.0082	0.158063392857143		0.0577	0.0371	1.5564	0.1196	0.318707238605898		0.111	0.042	2.6433	0.0082	0.203505769230769		0.0979	0.0414	2.3671	0.0179	0.158063392857143		0.1426	0.0111	1.2061	0.0447	0.002	0.0081	Blood count - Blood assays - Biological samples	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=30020
Englyst dietary fibre	Diet by 24-hour recall	0.1573	0.0162	0.160286206896552		-0.1099	0.0628	-1.7508	0.08	0.248025078369906		-0.1573	0.0654	-2.404	0.0162	0.240381944444444		-0.1466	0.0624	-2.3497	0.0188	0.160286206896552		0.0509	0.0095	1.0038	0.0067	8.1007e-05	0.0046	Estimated nutrients yesterday - Diet by 24-hour recall - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=100009
Usual side of head for mobile phone use: Left	Lifestyle and environment	0.1138	0.0381	0.161720600858369		0.1138	0.0549	2.0742	0.0381	0.161720600858369		0.0833	0.0694	1.2008	0.2298	0.635943575418994		0.102	0.0616	1.6571	0.0975	0.335984320557491		0.0227	0.0029	1.0054	0.0092	-0.0064	0.0051	Electronic device use - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1150
Illnesses of siblings: Diabetes	Family history and early life factors	0.1063	0.0386	0.16191223628692		0.1063	0.0514	2.0689	0.0386	0.16191223628692		-0.0199	0.0524	-0.3802	0.7038	0.912106544502618		0.0342	0.0514	0.6667	0.505	0.756338124054463		0.0229	0.0021	1.0055	0.0074	0.0015	0.0052	Family history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20111
Qualifications: CSEs or equivalent	Sociodemographics	0.1034	0.0386	0.16191223628692		0.1034	0.05	2.0679	0.0386	0.16191223628692		0.0673	0.0453	1.4857	0.1374	0.519319011406844		0.0851	0.0474	1.7956	0.0726	0.294277959183673		0.02	0.0018	1.018	0.0072	-0.0051	0.0056	Education - Sociodemographics - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6138
Average weekly beer plus cider intake	Lifestyle and environment	0.091	0.0387	0.16191223628692		0.091	0.044	2.0676	0.0387	0.16191223628692		0.0696	0.0508	1.3707	0.1705	0.546350485436893		0.0851	0.0481	1.7666	0.0773	0.297469649805447		0.0461	0.0032	1.0255	0.0091	0.007	0.0059	Alcohol - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1588
Fractured bone site(s): Wrist	Medical history and conditions	0.1509	0.0388	0.16191223628692		0.1509	0.073	2.0664	0.0388	0.16191223628692		0.0834	0.0817	1.0202	0.3076	0.705972811059908		0.1231	0.0742	1.6594	0.097	0.33543006993007		0.0064	0.0016	1.0073	0.0071	-0.0035	0.0054	Medical conditions - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6151
Treatment/medication code: aspirin	Medications	0.0952	0.0394	0.163725210084034		0.0952	0.0462	2.0604	0.0394	0.163725210084034		0.0779	0.0493	1.5806	0.114	0.477390717299578		0.0907	0.0468	1.9401	0.0524	0.243303286384977		0.022	0.0017	1.0141	0.007	0.019	0.005	Medications - Verbal interview - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20003
Duration of other exercises	Lifestyle and environment	0.1348	0.0399	0.16510920502092		0.1348	0.0656	2.0546	0.0399	0.16510920502092		0.0509	0.064	0.7961	0.426	0.787502803738318		0.0887	0.0648	1.3701	0.1707	0.442855091383812		0.0191	0.0029	1.0022	0.0067	-0.0109	0.0052	Physical activity - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=3647
Vitamin and mineral supplements: Vitamin B	Medications	0.1407	0.0401	0.165245416666667		0.1407	0.0686	2.0524	0.0401	0.165245416666667		0.0718	0.0713	1.0068	0.314	0.709009132420091		0.1071	0.0691	1.5498	0.1212	0.372257142857143		0.0076	0.0015	1.0003	0.0067	-0.0025	0.005	Medication - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6155
Endocrine, nutritional and metabolic diseases	Medical history and conditions	0.2037	0.0407	0.167021991701245		0.2037	0.0995	2.0467	0.0407	0.167021991701245		0.1015	0.1084	0.9362	0.3491	0.740901072961373		0.1584	0.102	1.5533	0.1203	0.37211125		0.0044	0.0013	1.0048	0.0064	0.002	0.0049	NA	NA
Haematocrit percentage	Biological samples	0.1072	0.0107	0.168853658536585		0.0587	0.0381	1.5425	0.1229	0.32240875331565		0.1072	0.042	2.5539	0.0107	0.203505769230769		0.0963	0.0417	2.3073	0.021	0.168853658536585		0.1351	0.0108	1.198	0.0441	0.0015	0.008	Blood count - Blood assays - Biological samples	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=30030
Treatment/medication code: lansoprazole	Medications	0.1331	0.0152	0.168853658536585		0.0992	0.0528	1.8792	0.0602	0.212582206405694		0.1331	0.0548	2.4269	0.0152	0.240381944444444		0.1233	0.0534	2.3078	0.021	0.168853658536585		0.0121	0.0016	1.0091	0.0075	0.0014	0.0049	Medications - Verbal interview - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20003
Creatinine (enzymatic) in urine	Biological samples	0.088	0.0068	0.17346746031746		0.0461	0.0326	1.4156	0.1569	0.367711137440758		0.088	0.0325	2.708	0.0068	0.203505769230769		0.0734	0.032	2.2912	0.022	0.17346746031746		0.0667	0.0028	1.0101	0.0093	-0.0047	0.0063	Urine assays - Biological samples	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=30510
Testosterone (nmol/L)	Biological samples	0.0773	0.0105	0.174033333333333		0.0573	0.0349	1.644	0.1002	0.2889375		0.0773	0.0302	2.5588	0.0105	0.203505769230769		0.0729	0.032	2.2785	0.0227	0.174033333333333		0.075	0.0109	1.0435	0.0294	-0.0033	0.0062	Blood biochemistry - Blood assays - Biological samples	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=30850
Ever highly irritable/argumentative for 2 days	Mental health	0.1096	0.0221	0.174033333333333		0.1054	0.0522	2.019	0.0435	0.174884146341463		0.1084	0.0474	2.2881	0.0221	0.290193421052632		0.1096	0.0481	2.2792	0.0227	0.174033333333333		0.0496	0.0052	0.9961	0.0077	-0.0028	0.0056	Mental health - Psychosocial factors - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=4653
More irritable than usual during worst period of anxiety	Mental health	0.2025	0.0429	0.174884146341463		0.2025	0.1	2.0251	0.0429	0.174884146341463		0.0688	0.0941	0.731	0.4648	0.800112998266898		0.1278	0.0934	1.3683	0.1712	0.442855091383812		0.0395	0.0142	1.0027	0.0064	-0.005	0.0049	Anxiety - Mental health - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20422
ECG, phase duration	Physical measures	0.1999	0.0431	0.174884146341463		-0.1999	0.0989	-2.0224	0.0431	0.174884146341463		-0.0829	0.0825	-1.0052	0.3148	0.709196355353075		-0.1399	0.087	-1.6067	0.1081	0.355842857142857		0.0279	0.0097	1.0112	0.0064	0.0011	0.0054	ECG during exercise - Physical measures - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=5992
Cereal type: Biscuit cereal (e.g. Weetabix)	Lifestyle and environment	0.1312	0.0432	0.174884146341463		0.1312	0.0649	2.0221	0.0432	0.174884146341463		0.04	0.0594	0.6738	0.5004	0.813448440065681		0.0822	0.0595	1.3823	0.1669	0.440434666666667		0.0098	0.0018	1.0204	0.0069	0.0032	0.0051	Diet - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1468
Illnesses of siblings: Heart disease	Family history and early life factors	0.113	0.0434	0.174884146341463		0.113	0.056	2.0198	0.0434	0.174884146341463		0.0981	0.0564	1.7402	0.0818	0.392719417475728		0.1116	0.0566	1.9702	0.0488	0.234287378640777		0.0209	0.0024	1.007	0.008	0.0071	0.0051	Family history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20111
Never eat eggs, dairy, wheat, sugar: I eat all of the above	Lifestyle and environment	0.0858	0.0439	0.175777732793522		-0.0858	0.0426	-2.0151	0.0439	0.175777732793522		-0.0408	0.0479	-0.8526	0.3939	0.763857058823529		-0.0635	0.0454	-1.3986	0.1619	0.431587870619946		0.0469	0.0024	1.0089	0.0091	-0.0117	0.0064	Diet - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6144
Particulate matter air pollution (pm2.5) absorbance; 2010	Lifestyle and environment	0.1464	0.0443	0.176664112903226		0.1464	0.0728	2.0114	0.0443	0.176664112903226		0.0919	0.0788	1.1664	0.2435	0.647081016042781		0.1284	0.0739	1.7381	0.0822	0.306776603773585		0.0094	0.0017	1.0462	0.007	-0.0026	0.0056	Residential air pollution - Local environment - Additional exposures	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=24007
Duration of light DIY	Lifestyle and environment	0.1055	0.0449	0.178337751004016		0.1055	0.0526	2.0052	0.0449	0.178337751004016		0.069	0.0491	1.4053	0.1599	0.539730716723549		0.0888	0.0498	1.783	0.0746	0.2951176		0.0365	0.0033	0.9972	0.0073	-0.0066	0.0057	Physical activity - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1021
Time from waking to first cigarette	Lifestyle and environment	0.1596	0.024	0.178466165413534		-0.1374	0.0731	-1.8795	0.0602	0.212582206405694		-0.1529	0.0717	-2.1326	0.033	0.323166197183099		-0.1596	0.0707	-2.2566	0.024	0.178466165413534		0.0931	0.0235	1.0142	0.0074	0.0012	0.005	Smoking - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=3466
Age of primiparous women at birth of child	Maternity and sex-specific factors	0.1431	0.0455	0.179998		-0.1431	0.0715	-2.0001	0.0455	0.179998		-0.0997	0.0728	-1.3701	0.1707	0.546350485436893		-0.1317	0.0694	-1.8989	0.0576	0.254063111111111		0.0958	0.0185	1.0032	0.0064	0.0014	0.0051	Female-specific factors - Sex-specific factors - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=3872
Guilty feelings	Mental health	0.0942	0.0172	0.182415555555556		0.049	0.0324	1.5111	0.1308	0.331352941176471		0.0942	0.0395	2.3823	0.0172	0.240381944444444		0.0802	0.0358	2.2435	0.0249	0.182415555555556		0.0511	0.0027	1.0024	0.009	-0.0063	0.0055	Mental health - Psychosocial factors - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2030
Time employed in main current job	Sociodemographics	0.1693	0.0463	0.182433067729084		-0.1693	0.085	-1.993	0.0463	0.182433067729084		0.0419	0.1013	0.4136	0.6791	0.901988903566711		-0.0542	0.0955	-0.5681	0.57	0.801595738636364		0.0139	0.0026	1.0057	0.0067	0.0059	0.0052	Employment - Sociodemographics - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=757
Daytime dozing / sleeping (narcolepsy)	Lifestyle and environment	0.0681	0.0465	0.182494047619048		0.0681	0.0342	1.9907	0.0465	0.182494047619048		0.0215	0.0327	0.6566	0.5114	0.821062662337662		0.0442	0.0334	1.3202	0.1868	0.461863		0.0492	0.0026	1.0089	0.0092	-0.0013	0.0053	Sleep - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1220
Milk added to cereal	Diet by 24-hour recall	0.2209	0.0314	0.183727272727273		-0.2183	0.1099	-1.9863	0.047	0.183727272727273		-0.2022	0.1029	-1.9656	0.0493	0.326173509933775		-0.2209	0.1027	-2.152	0.0314	0.1978		0.021	0.0091	1.0097	0.0066	-0.0016	0.0048	Cereal yesterday - Diet by 24-hour recall - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=100890
Medication related adverse effects (Asthma/COPD)	Medical history and conditions	0.1087	0.0472	0.183782677165354		0.1087	0.0547	1.9847	0.0472	0.183782677165354		-0.0057	0.0587	-0.0974	0.9224	0.998404284221526		0.0458	0.0544	0.8417	0.3999	0.679180612244898		0.0128	0.0016	1.0099	0.0076	-5e-04	0.0052	NA	NA
Ever had stillbirth, spontaneous miscarriage or termination	Maternity and sex-specific factors	0.1346	0.0475	0.184225490196078		0.1346	0.0679	1.9819	0.0475	0.184225490196078		0.004	0.0708	0.056	0.9554	0.998404284221526		0.0666	0.0679	0.9808	0.3267	0.626175		0.0175	0.003	0.9972	0.0076	-0.0062	0.0055	Female-specific factors - Sex-specific factors - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2774
6mm strong meridian angle (right)	Physical measures	0.156	0.0072	0.184377857142857		-0.0623	0.055	-1.1316	0.2578	0.479256015037594		-0.156	0.058	-2.688	0.0072	0.203505769230769		-0.1233	0.0554	-2.2253	0.0261	0.184377857142857		0.0676	0.0083	1.003	0.007	0.0051	0.0052	Autorefraction - Eye measures - Physical measures - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=5106
Medication for pain relief, constipation, heartburn: Paracetamol	Medications	0.0758	0.0481	0.185823828125		0.0758	0.0384	1.9762	0.0481	0.185823828125		0.0584	0.0375	1.5583	0.1192	0.479222764227642		0.0676	0.0374	1.8087	0.0705	0.291734309623431		0.0417	0.0023	1.0189	0.0086	0.0012	0.0054	Medication - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6154
Illness, injury, bereavement, stress in last 2 years: Serious illness, injury or assault to yourself	Mental health	0.1058	0.0486	0.187024902723735		0.1058	0.0536	1.9725	0.0486	0.187024902723735		0.0452	0.0526	0.8591	0.3903	0.762859090909091		0.077	0.0516	1.4919	0.1357	0.392419005847953		0.0148	0.0015	1.0104	0.0071	0.006	0.0054	Mental health - Psychosocial factors - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6145
Diagnoses - main ICD10: D25 Leiomyoma of uterus	Medical history and conditions	0.1442	0.0493	0.188253667953668		0.1442	0.0733	1.9658	0.0493	0.188253667953668		0.0497	0.0699	0.7107	0.4773	0.803061317567568		0.0984	0.0667	1.4748	0.1403	0.399556		0.0106	0.0025	0.9989	0.006	-0.0055	0.0047	Summary Diagnoses - Hospital inpatient - Health-related outcomes	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=41202
Usual side of head for mobile phone use: Right	Lifestyle and environment	0.1027	0.0493	0.188253667953668		-0.1027	0.0522	-1.9657	0.0493	0.188253667953668		-0.0855	0.066	-1.2958	0.195	0.570576923076923		-0.0975	0.0584	-1.6681	0.0953	0.333743816254417		0.0262	0.0032	1.0062	0.0098	0.0057	0.0057	Electronic device use - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1150
Length of mobile phone use	Lifestyle and environment	0.08	0.029	0.189431538461538		-0.0693	0.0353	-1.9613	0.0498	0.189431538461538		-0.0792	0.0383	-2.0662	0.0388	0.323166197183099		-0.08	0.0366	-2.1839	0.029	0.195108843537415		0.054	0.0027	1.0194	0.0088	0.0068	0.0064	Electronic device use - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1110
Astigmatism angle (left)	Physical measures	0.2146	0.0503	0.190600383141762		-0.2146	0.1096	-1.9575	0.0503	0.190600383141762		-0.1059	0.0925	-1.1445	0.2524	0.655180052493438		-0.1661	0.0993	-1.6735	0.0942	0.333743816254417		0.0186	0.0066	1.0139	0.0067	0.0013	0.0051	Autorefraction - Eye measures - Physical measures - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=5089
Number of full brothers	Family history and early life factors	0.1046	0.0506	0.19100534351145		0.1046	0.0535	1.9545	0.0506	0.19100534351145		-0.0029	0.0597	-0.0487	0.9612	0.998404284221526		0.0505	0.0558	0.9036	0.3662	0.656546582733813		0.0151	0.0016	1.0111	0.0072	-0.0089	0.0052	Family history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1873
Back pain for 3+ months	Medical history and conditions	0.1238	0.0293	0.195162666666667		-0.1003	0.0625	-1.6063	0.1082	0.300578431372549		-0.116	0.0551	-2.1046	0.0353	0.323166197183099		-0.1238	0.0568	-2.1792	0.0293	0.195162666666667		0.044	0.0054	0.9858	0.0068	0.0107	0.0056	Pain - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=3571
Treatment/medication code: ranitidine	Medications	0.1534	0.0522	0.195552272727273		0.1534	0.079	1.9414	0.0522	0.195552272727273		-0.0078	0.0886	-0.088	0.9299	0.998404284221526		0.069	0.0823	0.8382	0.4019	0.679180612244898		0.0053	0.0013	0.9977	0.0068	0.0022	0.0053	Medications - Verbal interview - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20003
Own or rent accommodation lived in: Own outright (by you or someone in your household)	Sociodemographics	0.0769	0.0522	0.195552272727273		-0.0769	0.0396	-1.9412	0.0522	0.195552272727273		-8e-04	0.0385	-0.0202	0.9839	0.999447897435897		-0.0374	0.0379	-0.9876	0.3233	0.623282066276803		0.0323	0.0018	1.0109	0.008	-0.0022	0.0055	Household - Sociodemographics - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=680
Leisure/social activities: Other group activity	Mental health	0.097	0.0531	0.19817320754717		-0.097	0.0501	-1.9345	0.0531	0.19817320754717		-0.0217	0.0529	-0.4102	0.6816	0.901988903566711		-0.0599	0.051	-1.1746	0.2402	0.532640807174888		0.0215	0.0018	1.018	0.0076	-0.0083	0.0062	Social support - Psychosocial factors - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6160
Urate (umol/L)	Biological samples	0.0562	0.0534	0.198543609022556		0.0562	0.0291	1.9314	0.0534	0.198543609022556		0.0131	0.0401	0.3273	0.7435	0.92030225281602		0.0325	0.0361	0.8993	0.3685	0.656546582733813		0.2511	0.0888	0.9012	0.1803	0.0056	0.0097	Blood biochemistry - Blood assays - Biological samples	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=30880
Sodium in urine	Biological samples	0.0614	0.0326	0.198898888888889		0.0611	0.0316	1.9296	0.0537	0.198898888888889		0.0565	0.029	1.9464	0.0516	0.332202564102564		0.0614	0.0287	2.1371	0.0326	0.200127058823529		0.0721	0.003	1.0195	0.0098	-0.0105	0.006	Urine assays - Biological samples	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=30530
Asthma-related pneumonia	Medical history and conditions	0.2094	0.0517	0.198898888888889		0.2094	0.1088	1.9246	0.0543	0.198898888888889		0.1644	0.0954	1.7242	0.0847	0.400805263157895		0.1972	0.1014	1.9459	0.0517	0.242328436018957		0.0034	0.0012	1.0014	0.0062	0.0015	0.0053	NA	NA
Illnesses of mother: Stroke	Family history and early life factors	0.1493	0.0541	0.198898888888889		0.1493	0.0775	1.9257	0.0541	0.198898888888889		0.0817	0.081	1.0086	0.3131	0.709009132420091		0.1149	0.0763	1.5058	0.1321	0.387676261127596		0.0067	0.0016	1.0066	0.0073	0.0038	0.005	Family history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20110
Workplace very dusty: Often	Work environment	0.1453	0.0543	0.198898888888889		0.1453	0.0755	1.9245	0.0543	0.198898888888889		0.0501	0.064	0.7834	0.4334	0.788487934186472		0.0964	0.0692	1.3927	0.1637	0.435213172043011		0.0371	0.0057	1.0067	0.0072	-0.0088	0.0056	Employment history - Work environment - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=22609
Systolic blood pressure, manual reading	Physical measures	0.1521	0.0093	0.200127058823529		-0.0732	0.0622	-1.1762	0.2395	0.459041666666667		-0.1521	0.0585	-2.6012	0.0093	0.203505769230769		-0.1251	0.0587	-2.1314	0.0331	0.200127058823529		0.1315	0.0163	1.007	0.0068	0.0194	0.0047	Blood pressure - Physical measures - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=93
Leg fat-free mass (left)	Physical measures	0.0629	0.0093	0.200127058823529		-0.0275	0.0261	-1.0548	0.2915	0.519982342342342		-0.0629	0.0242	-2.6015	0.0093	0.203505769230769		-0.0521	0.0246	-2.1204	0.034	0.200127058823529		0.2774	0.0105	1.1079	0.0262	2.4097e-06	0.0079	Body composition by impedance - Anthropometry - Physical measures - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=23117
Feelings of tiredness during worst episode of depression	Mental health	0.2441	0.0275	0.200127058823529		0.1737	0.1062	1.6353	0.102	0.29071469740634		0.2441	0.1108	2.2037	0.0275	0.31625		0.2293	0.1082	2.1193	0.0341	0.200127058823529		0.0249	0.0096	1.0084	0.0077	-0.0024	0.0053	Depression - Mental health - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20449
